Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
Valley Community Bank,St. Charles,IL,34187,First State Bank,25-Feb-11,27-Apr-11
"San Luis Trust Bank, FSB ",San Luis Obispo,CA,34783,First California Bank,18-Feb-11,15-Dec-11
Charter Oak Bank,Napa,CA,57855,Bank of Marin,18-Feb-11,15-Dec-11
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,18-Feb-11,27-Apr-11
Habersham Bank,Clarkesville,GA,151,SCBT National Association,18-Feb-11,20-May-11
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,11-Feb-11,15-Dec-11
Badger State Bank,Cassville,WI,13272,Royal Bank,11-Feb-11,26-Oct-11
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,11-Feb-11,27-Apr-11
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",11-Feb-11,27-Apr-11
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,4-Feb-11,22-Dec-11
North Georgia Bank,Watkinsville,GA,35242,BankSouth,4-Feb-11,26-Oct-11
American Trust Bank,Roswell,GA,57432,Renasant Bank,4-Feb-11,26-Oct-11
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",28-Jan-11,15-Dec-11
FirsTier Bank,Louisville,CO,57646,No Acquirer,28-Jan-11,15-Dec-11
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,28-Jan-11,27-Apr-11
The First State Bank,Camargo,OK,2303,Bank 7,28-Jan-11,27-Apr-11
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,21-Jan-11,15-Dec-11
The Bank of Asheville,Asheville,NC,34516,First Bank,21-Jan-11,6-Feb-12
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",21-Jan-11,27-Apr-11
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,21-Jan-11,27-Apr-11
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,14-Jan-11,26-Oct-11
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,7-Jan-11,15-Dec-11
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,7-Jan-11,22-Dec-11
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,17-Dec-10,22-Dec-11
First Southern Bank ,Batesville,AR,58052,Southern Bank,17-Dec-10,22-Dec-11
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,17-Dec-10,8-Mar-11
"Appalachian Community Bank, FSB ",McCaysville,GA,58495,Peoples Bank of East Tennessee,17-Dec-10,27-Dec-11
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,17-Dec-10,22-Dec-11
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,17-Dec-10,8-Mar-11
Earthstar Bank,Southampton,PA,35561,Polonia Bank,10-Dec-10,8-Mar-11
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,10-Dec-10,8-Mar-11
First Banking Center,Burlington,WI,5287,First Michigan Bank,19-Nov-10,22-Dec-11
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,19-Nov-10,27-Dec-11
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,19-Nov-10,8-Mar-11
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",12-Nov-10,22-Dec-11
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,12-Nov-10,27-Dec-11
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,12-Nov-10,23-Nov-11
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,5-Nov-10,8-Mar-11
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,5-Nov-10,15-Dec-11
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,5-Nov-10,15-Dec-11
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),5-Nov-10,21-Dec-11
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,22-Oct-10,15-Dec-11
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",22-Oct-10,8-Mar-11
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,22-Oct-10,28-Oct-11
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,22-Oct-10,14-Jul-11
The Gordon Bank,Gordon,GA,33904,Morris Bank,22-Oct-10,3-Aug-11
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,22-Oct-10,5-Aug-11
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,22-Oct-10,22-Dec-11
Premier Bank,Jefferson City,MO,34016,Providence Bank,15-Oct-10,5-Aug-11
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,15-Oct-10,27-Dec-11
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,15-Oct-10,25-Jul-11
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,1-Oct-10,15-Dec-11
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,1-Oct-10,20-May-11
North County Bank,Arlington,WA,35053,Whidbey Island Bank,24-Sep-10,15-Dec-11
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,24-Sep-10,8-Mar-11
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",17-Sep-10,21-Dec-11
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,17-Sep-10,22-Dec-11
The Peoples Bank,Winder,GA,182,Community & Southern Bank,17-Sep-10,8-Mar-11
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,17-Sep-10,22-Dec-11
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,17-Sep-10,27-Dec-11
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,17-Sep-10,21-Dec-11
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,10-Sep-10,21-Dec-11
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,20-Aug-10,15-Dec-11
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,20-Aug-10,15-Dec-11
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",20-Aug-10,15-Dec-11
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",20-Aug-10,15-Dec-11
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,20-Aug-10,15-Jun-11
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",20-Aug-10,21-Dec-11
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",20-Aug-10,21-Dec-11
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",20-Aug-10,22-Dec-11
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,13-Aug-10,20-Dec-11
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,6-Aug-10,28-Sep-11
LibertyBank,Eugene,OR,31964,Home Federal Bank,30-Jul-10,15-Dec-11
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,30-Jul-10,15-Dec-11
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,30-Jul-10,29-Sep-11
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,30-Jul-10,22-Dec-11
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,30-Jul-10,29-Sep-11
Home Valley Bank ,Cave Junction,OR,23181,South Valley Bank & Trust,23-Jul-10,15-Dec-11
SouthwestUSA Bank ,Las Vegas,NV,35434,Plaza Bank,23-Jul-10,15-Dec-11
Community Security Bank ,New Prague,MN,34486,Roundbank,23-Jul-10,19-Sep-11
Thunder Bank ,Sylvan Grove,KS,10506,The Bennington State Bank,23-Jul-10,28-Sep-11
Williamsburg First National Bank ,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",23-Jul-10,27-Dec-11
Crescent Bank and Trust Company ,Jasper,GA,27559,Renasant Bank,23-Jul-10,22-Dec-11
Sterling Bank ,Lantana,FL,32536,IBERIABANK,23-Jul-10,14-Sep-11
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,16-Jul-10,14-Sep-11
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",16-Jul-10,20-Dec-11
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,16-Jul-10,14-Sep-11
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,16-Jul-10,21-Dec-11
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,16-Jul-10,11-Aug-11
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,16-Jul-10,7-Mar-11
Home National Bank,Blackwell,OK,11636,RCB Bank,9-Jul-10,16-Mar-11
USA Bank,Port Chester,NY,58072,New Century Bank,9-Jul-10,14-Sep-11
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,9-Jul-10,7-Mar-11
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",9-Jul-10,22-Dec-11
High Desert State Bank,Albuquerque,NM,35279,First American Bank,25-Jun-10,15-Dec-11
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",25-Jun-10,14-Sep-10
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",25-Jun-10,14-Sep-11
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,18-Jun-10,15-Dec-11
Washington First International Bank,Seattle,WA,32955,East West Bank,11-Jun-10,15-Dec-11
TierOne Bank,Lincoln,NE,29341,Great Western Bank,4-Jun-10,9-Aug-11
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,4-Jun-10,15-Dec-11
First National Bank,Rosedale,MS,15814,The Jefferson Bank,4-Jun-10,14-Sep-11
Sun West Bank,Las Vegas,NV,34785,City National Bank,28-May-10,14-Sep-11
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,28-May-10,15-Dec-11
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,28-May-10,14-Sep-11
Bank of Florida - Southwest,Naples,FL,35106,EverBank,28-May-10,14-Sep-11
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,28-May-10,14-Sep-11
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,21-May-10,15-Dec-11
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",14-May-10,15-Dec-11
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,14-May-10,14-Sep-11
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,14-May-10,14-Sep-11
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,14-May-10,9-Aug-11
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,7-May-10,14-Sep-11
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,7-May-10,15-Dec-11
Access Bank,Champlin,MN,16476,PrinsBank,7-May-10,27-Dec-11
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,7-May-10,26-Aug-10
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",30-Apr-10,15-Dec-11
BC National Banks,Butler,MO,17792,Community First Bank,30-Apr-10,14-Sep-11
Champion Bank,Creve Coeur,MO,58362,BankLiberty,30-Apr-10,14-Sep-11
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,30-Apr-10,15-Dec-11
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,30-Apr-10,9-Aug-11
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,30-Apr-10,14-Sep-11
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,30-Apr-10,18-Aug-11
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,23-Apr-10,15-Dec-11
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,23-Apr-10,15-Dec-11
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,23-Apr-10,15-Dec-11
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",23-Apr-10,15-Dec-11
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,23-Apr-10,15-Dec-11
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",23-Apr-10,15-Dec-11
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,23-Apr-10,15-Dec-11
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,16-Apr-10,15-Dec-11
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,15-Dec-11
Innovative Bank,Oakland,CA,23876,Center Bank,16-Apr-10,15-Dec-11
Butler Bank,Lowell,MA,26619,People's United Bank,16-Apr-10,14-Sep-11
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,14-Sep-11
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,14-Sep-11
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,22-Dec-11
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,16-Apr-10,15-Dec-11
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,22-Dec-11
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,15-Dec-11
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,14-Sep-11
Key West Bank,Key West,FL,34684,Centennial Bank,26-Mar-10,14-Sep-11
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,26-Mar-10,14-Sep-11
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,19-Mar-10,15-Dec-11
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,19-Mar-10,22-Dec-11
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,19-Mar-10,14-Sep-11
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,19-Mar-10,14-Sep-11
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,19-Mar-10,15-Dec-11
Century Security Bank,Duluth,GA,58104,Bank of Upson,19-Mar-10,14-Sep-11
American National Bank,Parma,OH,18806,The National Bank and Trust Company,19-Mar-10,27-Dec-11
Statewide Bank,Covington,LA,29561,Home Bank,12-Mar-10,14-Sep-11
Old Southern Bank,Orlando,FL,58182,Centennial Bank,12-Mar-10,14-Sep-11
The Park Avenue Bank,New York,NY,27096,Valley National Bank,12-Mar-10,8-Aug-11
LibertyPointe Bank,New York,NY,58071,Valley National Bank,11-Mar-10,14-Sep-11
Centennial Bank,Ogden,UT,34430,No Acquirer,5-Mar-10,22-Dec-11
Waterfield Bank,Germantown,MD,34976,No Acquirer,5-Mar-10,15-Dec-11
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,5-Mar-10,15-Dec-11
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,5-Mar-10,15-Dec-11
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,26-Feb-10,14-Sep-11
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,26-Feb-10,15-Dec-11
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",19-Feb-10,15-Dec-11
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",19-Feb-10,15-Dec-11
The La Coste National Bank,La Coste,TX,3287,Community National Bank,19-Feb-10,11-Aug-11
Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,19-Feb-10,12-Aug-11
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",5-Feb-10,15-Dec-11
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,29-Jan-10,15-Dec-11
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,29-Jan-10,15-Dec-11
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,29-Jan-10,22-Dec-11
"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,29-Jan-10,14-Sep-11
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",29-Jan-10,4-Aug-11
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,29-Jan-10,15-Aug-11
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,22-Jan-10,15-Dec-11
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,22-Jan-10,15-Dec-11
Charter Bank,Santa Fe,NM,32498,Charter Bank,22-Jan-10,14-Sep-11
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",22-Jan-10,4-Aug-11
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",22-Jan-10,14-Sep-11
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,15-Jan-10,15-Dec-11
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,15-Jan-10,14-Sep-11
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,15-Jan-10,14-Sep-11
Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,8-Jan-10,15-Dec-11
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",18-Dec-09,15-Dec-11
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,18-Dec-09,15-Dec-11
Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),18-Dec-09,27-Dec-11
New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,18-Dec-09,14-Sep-11
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,18-Dec-09,27-Aug-10
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,18-Dec-09,14-Sep-11
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,18-Dec-09,27-Apr-11
SolutionsBank,Overland Park,KS,4731,Arvest Bank,11-Dec-09,14-Sep-11
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,11-Dec-09,15-Dec-11
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,11-Dec-09,3-Aug-11
Greater Atlantic Bank,Reston,VA,32583,Sonabank,4-Dec-09,7-Jul-11
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",4-Dec-09,22-Dec-11
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,4-Dec-09,9-Aug-11
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,4-Dec-09,17-Jun-11
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,4-Dec-09,22-Dec-11
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,4-Dec-09,9-Dec-10
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,20-Nov-09,14-Sep-11
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,13-Nov-09,15-Dec-11
Orion Bank,Naples,FL,22427,IBERIABANK,13-Nov-09,14-Sep-11
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,13-Nov-09,24-Mar-10
United Commercial Bank,San Francisco,CA,32469,East West Bank,6-Nov-09,15-Dec-11
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,6-Nov-09,27-Aug-10
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",6-Nov-09,10-Aug-11
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,6-Nov-09,21-Dec-11
United Security Bank,Sparta,GA,22286,Ameris Bank,6-Nov-09,14-Sep-11
North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,30-Oct-09,14-Sep-11
Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,30-Oct-09,21-Dec-11
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,30-Oct-09,22-Dec-11
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,30-Oct-09,5-Aug-11
